Open_Time_ms,Open,High,Low,Close,Volume,Close_Time_ms,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
1772460000000,1927.71,1985.48,1921.7,1979.75,58183.5923,1772463599999,113652596.46083,908743,31731.665,61998941.042195
1772463600000,1979.75,2065.48,1974.36,2047.33,99017.374,1772467199999,201084110.594351,1301024,58836.3748,119487441.349082
1772467200000,2047.33,2090.0,2043.36,2064.33,60174.2489,1772470799999,124197131.075355,933193,30715.6803,63394285.798805
1772470800000,2064.33,2066.0,2025.58,2041.01,27258.717,1772474399999,55786833.913171,542343,11224.8006,22962895.265338
1772474400000,2041.01,2041.12,2024.24,2029.4,16184.3755,1772477999999,32896090.064564,387119,7647.9552,15546249.797285
1772478000000,2029.4,2049.39,2017.15,2043.57,18799.5712,1772481599999,38239559.589068,329986,9701.4696,19739269.331967
1772481600000,2043.56,2057.7,2024.98,2035.5,20820.4038,1772485199999,42495993.464253,475911,10253.5523,20936130.027428
1772485200000,2035.5,2047.87,2029.35,2043.01,13737.182,1772488799999,28007283.587632,236095,6175.659,12590984.558641
1772488800000,2043.01,2058.59,2041.41,2053.82,11782.1316,1772492399999,24157018.328203,200429,6253.3094,12821088.321739
1772492400000,2053.82,2055.75,2024.32,2027.35,37213.3302,1772495999999,75646795.35497,294276,23427.9819,47590667.031051
1772496000000,2027.34,2038.94,2018.76,2035.46,28632.0074,1772499599999,58163623.064691,299503,17423.289,35409279.788501
1772499600000,2035.46,2041.48,2019.53,2020.01,12962.5833,1772503199999,26335132.600068,308215,5651.2567,11485322.772059
1772503200000,2020.01,2022.89,1998.0,2013.67,21831.7657,1772506799999,43897215.878667,418995,9414.6725,18939036.518381
1772506800000,2013.68,2015.88,2005.33,2008.88,8961.6112,1772510399999,18011737.570389,184606,3818.0001,7674614.315471
1772510400000,2008.88,2013.66,1998.49,1999.82,10046.0129,1772513999999,20144014.674476,190626,4325.6142,8674389.759161
1772514000000,1999.81,2019.4,1987.5,1993.36,23376.1215,1772517599999,46717651.344156,326575,13022.969,26028559.879936
1772517600000,1993.35,2001.86,1987.82,1999.27,9807.2108,1772521199999,19557627.799196,223242,4825.9588,9624681.997442
1772521200000,1999.28,2003.49,1993.43,1996.33,11518.4682,1772524799999,23014812.954112,185062,5882.1668,11753894.334617
1772524800000,1996.32,2000.53,1947.93,1953.1,36423.8703,1772528399999,71785895.597156,402047,15527.4598,30602703.494648
1772528400000,1953.1,1968.89,1939.1,1951.58,29942.9589,1772531999999,58495257.86007,351252,15295.1328,29903436.453356
1772532000000,1951.57,1964.08,1945.24,1958.05,14868.4866,1772535599999,29051707.211425,224712,7895.774,15431030.939387
1772535600000,1958.05,1966.97,1952.11,1961.28,13420.8223,1772539199999,26305382.061926,205163,7666.6948,15029411.949953
1772539200000,1961.28,1990.07,1960.85,1967.57,23995.6503,1772542799999,47334301.386922,366790,12366.2489,24401856.50763
1772542800000,1967.58,1968.77,1943.73,1952.14,20300.8927,1772546399999,39660092.928383,349912,10114.6678,19756869.996136
1772546400000,1952.13,1977.31,1929.56,1942.78,56182.4604,1772549999999,109647446.90305,833652,28251.3685,55148644.716233
1772550000000,1942.78,1972.71,1932.04,1969.22,38417.9879,1772553599999,75026142.393449,799021,20819.4487,40662669.871977
1772553600000,1969.21,2014.12,1958.76,1983.98,54907.2008,1772557199999,109054561.307572,905714,29035.4616,57683640.488258
