Open_Time_ms,Open,High,Low,Close,Volume,Close_Time_ms,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
1772460000000,83.07,85.97,82.78,85.68,386730.967,1772463599999,32650699.563,177143,192743.678,16282424.97698
1772463600000,85.67,88.98,85.48,88.77,923932.639,1772467199999,81145764.88951,274264,522148.181,45841914.22084
1772467200000,88.77,90.29,88.47,88.85,546975.727,1772470799999,48866217.43809,221789,278994.113,24935813.45576
1772470800000,88.84,88.99,86.39,87.61,331947.693,1772474399999,29103135.20712,127744,170048.879,14911653.55178
1772474400000,87.61,87.84,86.69,87.31,165832.482,1772477999999,14489819.73247,95251,81854.055,7152645.26247
1772478000000,87.31,87.82,86.82,87.65,178587.242,1772481599999,15599422.67139,69733,75979.272,6639593.91687
1772481600000,87.65,88.08,86.85,87.57,200371.47,1772485199999,17550406.34967,95640,100118.144,8770400.15635
1772485200000,87.58,87.73,87.15,87.54,128267.282,1772488799999,11221058.00108,48805,68879.976,6026187.52163
1772488800000,87.55,88.25,87.26,88.04,126832.471,1772492399999,11147941.98873,46034,49974.164,4392553.93567
1772492400000,88.03,88.09,86.35,86.64,196183.64,1772495999999,17063585.5208,64457,86820.264,7549053.80939
1772496000000,86.65,87.32,86.11,86.92,202803.751,1772499599999,17571372.08574,64281,91878.089,7962713.19087
1772499600000,86.91,87.18,86.16,86.17,107777.62,1772503199999,9335719.39009,52199,49107.999,4256765.67584
1772503200000,86.16,86.35,85.23,86.21,162023.913,1772506799999,13899263.42468,70334,84657.463,7265690.54713
1772506800000,86.21,86.63,85.92,86.31,63650.226,1772510399999,5490435.80158,30848,34306.994,2960645.24766
1772510400000,86.31,86.46,85.65,85.85,52045.279,1772513999999,4477077.80552,29645,21060.11,1812932.75089
1772514000000,85.84,86.82,85.38,85.8,128715.142,1772517599999,11080358.50401,52131,56704.646,4880813.12252
1772517600000,85.79,85.98,85.4,85.85,73478.092,1772521199999,6297358.75452,39509,35645.895,3055287.9984
1772521200000,85.85,86.3,85.4,85.58,85726.162,1772524799999,7356431.14595,35519,42441.397,3643844.86966
1772524800000,85.58,85.77,83.94,84.26,224449.606,1772528399999,19006040.11679,82996,105624.658,8949309.48001
1772528400000,84.26,84.99,84.02,84.31,169353.491,1772531999999,14314418.66478,70523,78276.992,6617088.57748
1772532000000,84.3,84.57,83.7,83.92,180132.306,1772535599999,15142148.2067,68952,80706.132,6786441.74047
1772535600000,83.92,84.37,83.78,84.21,173454.71,1772539199999,14587279.53166,67312,99687.561,8384057.33722
1772539200000,84.22,85.37,84.14,84.42,228272.595,1772542799999,19334389.14627,84777,118299.072,10020199.55886
1772542800000,84.43,84.48,83.19,83.63,148695.546,1772546399999,12449018.76586,75474,62803.159,5260400.45738
